,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
395,0.6293841720262908,4,TACSTD2,199.27437334509113,0.5863867774338754,-13807.282482898561,-9.350644115985299,4.708496100615692,SE,10408,4.215677435701458e-07,8.812790103521994e-06,0.013079166412353516,27651.566285877892,-18362.798874685504,4555.516391786943,0.0,0.0
289,0.6246571003258239,4,KRT14,199.27437334509113,0.5983599906047437,-13761.885926600495,-6.607302322845888,2.862533467284079,SE,10408,3.9426816374751404e-07,8.174872765241212e-06,0.01947808265686035,27560.77317328176,-18237.828150176312,4475.9422235758175,0.0,0.0
297,0.5905921963539988,4,LDHB,199.27437334509113,0.6903104295341655,-8458.538961687136,-5.283634288926691,1.473950374261415,SE,10408,4.703596986136415e-07,9.286833147276855e-06,0.0033240318298339844,16954.079243455042,-12924.482180903326,4465.943219216189,0.0,0.0
375,0.5803004878279155,4,SERPINA3,199.27437334509113,0.7202139872596316,-13466.664527044264,-4.122828864574761,1.5370489498163347,SE,10408,4.4286874688735796e-07,8.644314719913637e-06,0.004734039306640625,26970.330374169298,-17892.066712898915,4425.402185854651,0.0,0.0
294,0.5861151468228879,4,KRT8,199.27437334509113,0.7031898782108045,-9953.546403916873,-5.9527461225872385,1.8821441970507962,SE,10408,4.1758839076423485e-07,8.202373981817433e-06,0.010153055191040039,19944.094127914515,-14368.201658370393,4414.655254453521,0.0,0.0
209,0.5933953203165447,4,CEACAM6,199.27437334509113,0.682345416230658,-12973.257723926592,-4.385175242950723,1.5933613028758196,SE,10408,4.0160715736396383e-07,7.956245983508173e-06,0.0050389766693115234,25983.516767933954,-17312.688727910667,4339.431003984075,0.0,0.0
292,0.623626133858025,4,KRT6B,199.27437334509113,0.6009954393562983,-12902.94197475266,-6.350542609979473,2.5598866374069935,SE,10408,3.592843464338571e-07,7.4365632989454435e-06,0.0057220458984375,25842.88526958609,-17237.16880304193,4334.226828289267,0.0,0.0
259,0.5949642593422773,4,GJB2,199.27437334509113,0.6779200716387321,-12831.484973082486,-6.582487014740659,2.560802283520785,SE,10408,4.290193459488868e-07,8.515834703535366e-06,0.003403902053833008,25699.971266245742,-17115.51533047348,4284.030357390995,0.0,0.0
293,0.6318383284232871,4,KRT7,199.27437334509113,0.580241288030709,-13241.21240698346,-9.352375200456176,4.610759928161651,SE,10408,4.5040541452061923e-07,9.457088338501132e-06,0.005347013473510742,26519.42613404769,-17500.738953156382,4259.526546172921,0.0,0.0
249,0.6086853858873718,4,FBLN1,199.27437334509113,0.6401904856118368,-12408.795689834975,-2.8345694473646534,1.0978402624916062,SE,10408,4.51697982468945e-07,9.133499294926502e-06,0.006404876708984375,24854.59269975072,-16627.230285749585,4218.43459591461,0.0,0.0
367,0.6314160957524779,4,S100A8,199.27437334509113,0.5812952046213864,-14151.448852481266,-5.575539964853112,2.4581194517218528,SE,10408,4.1548400974237154e-07,8.717198195022199e-06,0.013857126235961914,28339.8990250433,-18306.373320899613,4154.924468418347,0.0,0.0
310,0.5340410806611482,4,MLPH,199.27437334509113,0.8688583638329213,-12217.12535217109,-4.348293673784047,1.315015324534723,SE,10408,4.796748137370848e-07,9.050611971983607e-06,0.0033571720123291016,24471.25202442295,-16295.518791164654,4078.393438993564,0.0,0.0
303,0.6071756232835914,4,LUM,199.27437334509113,0.6442584532053937,-14514.567735599385,-1.9992031786111824,1.308394857517181,SE,10408,5.073758063958683e-07,1.023706371324762e-05,0.009398937225341797,29066.13679127954,-18588.614627890325,4074.0468922909404,0.0,0.0
313,0.5949746314800943,4,MMP2,199.27437334509113,0.6778908936753311,-13208.869784685783,-2.2344892486996013,1.054937707368044,SE,10408,5.492570207331114e-07,1.0902637970189348e-05,0.00345611572265625,26454.740889452336,-17194.2699036572,3985.400118971418,0.0,0.0
284,0.5397071601255876,4,KLF5,199.27437334509113,0.8492822790163471,-11989.012518828691,-6.52347348604585,2.246247628147637,SE,10408,5.50563291019263e-07,1.0415681115905743e-05,0.005828857421875,24015.026357738152,-15902.816497670465,3913.8039788417736,0.0,0.0
190,0.46195255707383054,4,CD19,199.27437334509113,1.159843035673846,-10484.986446588464,-2.2181051173349013,0.5001307450313602,SE,10408,5.650122535356648e-07,1.0680290558131482e-05,0.0035037994384765625,21006.974213257698,-14387.75424679835,3902.7678002098855,0.0,0.0
378,0.5759446000159747,4,SFRP4,199.27437334509113,0.733192324711648,-13623.325676101234,-1.8640984656108104,1.0001836616739717,SE,10408,5.292805446245114e-07,1.0285496571852797e-05,0.009118080139160156,27283.65267228324,-17508.68555891957,3885.359882818335,0.0,0.0
