FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
0.33996919828904326,4,sim_g005,51.34109617198996,1.862304005563329,-929.6853560431167,-16.01881963617602,15.271439085868188,SE,441,0.0002474878051400722,0.0055051575843678095,0.0008759498596191406,1883.7268915880209,-983.0877622919951,53.40240624887838,2.717825964282383e-13,7.948641744803808e-11
0.31286916746181115,4,sim_g087,51.34109617198996,2.1066996110204075,-817.2716134228729,-10.936646110266272,7.141630244448879,SE,441,0.00018870111876334152,0.004498084142367405,0.0008561611175537109,1658.8994063475332,-869.3623120818568,52.09069865898391,5.299094496535872e-13,7.948641744803808e-11
0.2989307666731937,4,sim_g101,51.34109617198996,2.249656639037524,-917.3936524912308,-29.263515253277383,45.512039012851815,SE,441,0.0002212235449030068,0.005496389214428824,0.0003750324249267578,1859.143484484249,-960.8815695719558,43.48791708072497,4.265854336438224e-11,4.265854336438224e-09
0.3174726231835653,4,sim_g059,51.34109617198996,2.0622425377541855,-1059.4961706628976,-26.45448525339909,39.32409911341209,SE,441,0.00015738245482108462,0.003703920507237109,0.0009357929229736328,2143.3485208275824,-1102.1973099497245,42.7011392868269,6.377509631505518e-11,4.7831322236291385e-09
0.3241574100735797,4,sim_g128,51.34109617198996,1.9999334665589537,-917.712213831955,-25.164618538353146,34.69391742021288,SE,441,0.00024570581600314557,0.005680650426371516,0.0003650188446044922,1859.7806071656973,-958.860215291032,41.14800145907702,1.4112744306515879e-10,8.118496351374103e-09
0.3516520353331719,4,sim_g141,51.34109617198996,1.7685647375825682,-892.9310627941511,-12.769529904015323,10.185210515099243,SE,441,0.00027977862930661274,0.006066302089247228,0.0011448860168457031,1810.2183050900896,-933.6622415833751,40.73117878922403,1.7467771673551624e-10,8.118496351374103e-09
0.30445099047880153,4,sim_g095,51.34109617198996,2.1914738382227013,-972.7199075542687,-11.936049393578074,9.167638229327077,SE,441,0.00023177463211119384,0.005661946479596413,0.0004482269287109375,1969.795994610325,-1013.2926424399386,40.57273488566989,1.894315815320624e-10,8.118496351374103e-09
0.4350193908169501,4,sim_g050,51.34109617198996,1.2458073014983169,-1073.7738585930285,-24.140358152247984,36.82832934869871,SE,441,0.00022372846958045825,0.004304613836807368,0.0003120899200439453,2171.9038966878443,-1112.4478158209276,38.67395722789911,5.00847252560277e-10,1.8781771971010386e-08
0.2510834891380285,4,sim_g038,51.34109617198996,2.8611537450032323,-998.4459305525202,-9.847701319879029,6.408925187998671,SE,441,0.0002570825924649495,0.0076343649965369105,0.00036025047302246094,2021.2480406068278,-1032.3719057238816,33.925975171361415,5.724925644656764e-09,1.9083085482189213e-07
0.17242519189918265,4,sim_g000,88.52913860950083,4.255772774103194,-1010.8831422958892,-23.0913559171365,12.415561630554475,SE,441,0.00041446252799674126,0.0196607888993348,0.0019168853759765625,2046.122464093566,-1043.5183773751546,32.635235079265385,1.1118080234240324e-08,3.335424070272097e-07
0.4429393065322976,4,sim_g067,51.34109617198996,1.2063803074110586,-1086.5506269133941,-23.126242448149902,34.68139116800053,SE,441,0.0002448301093930985,0.004681532649164995,0.00032591819763183594,2197.4574333285755,-1117.7610967902792,31.2104698768851,2.3151406680632647e-08,6.314020003808903e-07
0.2963054306209471,4,sim_g022,51.34109617198996,2.278088194525342,-880.8112323142215,-23.996348047134116,30.775248963335628,SE,441,0.00028063897762638755,0.007030602245444345,0.0004329681396484375,1785.9786441302304,-911.4508100128259,30.6395776986044,3.1069102623959566e-08,7.767275655989891e-07
0.242123417788551,4,sim_g019,51.34109617198996,3.0025319496680463,-1087.647000744338,-21.53100160517434,25.117195257375126,SE,441,0.00024456148523591223,0.007564080227511135,0.00036907196044921875,2199.650180990463,-1117.5040877515157,29.857087007177824,4.6509370021929897e-08,1.0185096765980006e-06
0.257817281273191,4,sim_g120,51.34109617198996,2.761370994336894,-1080.6926593648336,-13.962840437943582,12.126778808041227,SE,441,0.0002641879303998191,0.007621799165116581,0.0009577274322509766,2185.7414982314544,-1110.5076422106163,29.81498284578265,4.753045157457336e-08,1.0185096765980006e-06
0.41416691350145896,4,sim_g111,29.774469711813495,1.396094142032213,-1010.063688021833,-15.877876524577973,35.1860060692935,SE,441,0.00023539495856280817,0.004622222865949193,0.00036716461181640625,2044.4835555454533,-1037.1128302164516,27.04914219461864,1.9834822539976926e-07,3.966964507995385e-06
0.34210503660984454,4,sim_g007,29.774469711813495,1.898074715190211,-1091.6711013612608,3.3583793325037794,4.514878062844084,SE,441,0.00020272398651885695,0.004487572835034819,0.0011639595031738281,2207.6983822243087,-1118.5665044787047,26.895403117443948,2.147690991716189e-07,4.0269206094678545e-06
0.37885852321352975,4,sim_g137,29.774469711813495,1.6181906168063134,-823.9749435491688,-9.51354355324818,12.359141996553715,SE,441,0.00022655679277111432,0.004670038913179825,0.0003561973571777344,1672.306066600125,-850.6964299836869,26.72148643451817,2.3499385504166526e-07,4.14695038308821e-06
0.2079619662520992,4,sim_g004,88.52913860950083,3.377022932842978,-1104.736725764586,-1.582948044805144,2.3995573070946348,SE,441,0.0006095803481406416,0.022610218922974122,0.0008749961853027344,2233.8296310309593,-1130.4740946992524,25.737368934666392,3.911788091226498e-07,6.51964681871083e-06
0.24126447878372942,4,sim_g065,51.34109617198996,3.016636462441095,-1003.8487542980522,-19.78532306937649,20.819811811497413,SE,441,0.0002947405767561033,0.009152965421153387,0.0008580684661865234,2032.0536880978918,-1029.2245284371406,25.375774139088435,4.718061372699367e-07,7.4495705884726844e-06
0.21361336191216343,4,sim_g082,51.34109617198996,3.5312922040111965,-1051.348399973254,-10.650703601275177,7.098324948868374,SE,441,0.0002941638988574285,0.010553731468739327,0.00036406517028808594,2127.052979448295,-1075.8371669873118,24.488767014057885,7.474433230125754e-07,1.1211649845188632e-05
0.20902432194265624,4,sim_g149,51.34109617198996,3.629879861387835,-891.9429923271923,-14.688533777894033,11.049410759034906,SE,441,0.00028076723600801165,0.010347983963766726,0.001302957534790039,1808.242164156172,-915.6148755687094,23.671883241517094,1.142394391528967e-06,1.631991987898524e-05
0.22090367748755377,4,sim_g109,51.34109617198996,3.3830946921307987,-944.3109069583822,-20.436196912458186,21.19793108943961,SE,441,0.0003683516278209375,0.012685369503052655,0.0003619194030761719,1912.977993418552,-967.845291507624,23.534384549241736,1.2270121716451143e-06,1.6731984158797015e-05
0.3875447578950456,4,sim_g142,29.774469711813495,1.5597992232334323,-770.9092447149796,-28.804010016169055,105.24599708484125,SE,441,0.0003522621280031825,0.007162676981800917,0.0003719329833984375,1566.1746689317467,-793.9929343156716,23.08368960069197,1.551008352196348e-06,2.023054372430019e-05
0.2538289872453554,4,sim_g098,51.34109617198996,2.8198311371590563,-943.5406015576662,-27.9781844145698,40.22404382957404,SE,441,0.0002663625578590779,0.007815946646841657,0.0003781318664550781,1911.4373826171197,-966.3085013993838,22.76789984171762,1.8279356688299941e-06,2.2849195860374927e-05
0.3035090327881029,4,sim_g097,29.774469711813495,2.2649576084404623,-930.7125416991883,-17.773974938336792,37.667555073610785,SE,441,0.00022940578609256178,0.005620008500746852,0.0010981559753417969,1885.781262900164,-953.2171188188464,22.504577119658165,2.0964346985063997e-06,2.5157216382076797e-05
