,C,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,is_spatial,pattern_type,method
sim_g066,0.783977194140856,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.7275911073224017e-05,0.0,0.0,0.0020527417787691757,1,hotspot,geary
sim_g013,0.7968838447229595,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.404495464284975e-05,0.0,0.0,0.0020527417787691757,1,hotspot,geary
sim_g147,0.7997425180889326,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.5738599019665952e-05,0.0,0.0,0.0020527417787691757,1,hotspot,geary
sim_g121,0.8048932943777518,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.4212496562853405e-05,0.0,0.0,0.0020527417787691757,1,hotspot,geary
sim_g102,0.8059598823592309,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.5846286461473133e-05,0.0,0.0,0.0020527417787691757,1,hotspot,geary
sim_g032,0.8063887679170948,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.6036456655654523e-05,0.0,0.0,0.0020527417787691757,1,hotspot,geary
sim_g042,0.8073964886999189,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.449632421129897e-05,0.0,0.0,0.0020527417787691757,1,hotspot,geary
sim_g046,0.8077283815315022,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.377353673161709e-05,0.0,0.0,0.0020527417787691757,1,hotspot,geary
sim_g118,0.8104315146716793,0.0,1.3395159586304278e-05,1.3060978446226885e-297,0.000999000999000999,2.685086970337502e-05,0.0,1.5070359745646405e-296,0.0020527417787691757,1,hotspot,geary
sim_g040,0.8158319414178022,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.276821403785498e-05,0.0,0.0,0.0020527417787691757,1,hotspot,geary
sim_g131,0.8328159455581882,0.0,1.3395159586304278e-05,1.325584544023549e-293,0.000999000999000999,2.1539848412886452e-05,0.0,1.4728717155817211e-292,0.0020527417787691757,1,hotspot,geary
sim_g141,0.8407797540417548,0.0,1.3395159586304278e-05,4.608387271003906e-249,0.000999000999000999,2.2555734060557253e-05,0.0,4.767297176900592e-248,0.0020527417787691757,1,gp,geary
sim_g035,0.8419595530891387,0.0,1.3395159586304278e-05,3.246045984378535e-250,0.000999000999000999,2.2347449073521785e-05,0.0,3.4779064118341445e-249,0.0020527417787691757,1,hotspot,geary
sim_g094,0.8436651159152111,0.0,1.3395159586304278e-05,1.5434049676666473e-248,0.000999000999000999,2.0954329860877243e-05,0.0,1.5434049676666473e-247,0.0020527417787691757,1,hotspot,geary
sim_g069,0.8445466972238058,0.0,1.3395159586304278e-05,3.753207834952285e-240,0.000999000999000999,2.2176025132277806e-05,0.0,3.632136614469953e-239,0.0020527417787691757,1,hotspot,geary
sim_g128,0.8463743119936179,0.0,1.3395159586304278e-05,1.930823311754749e-239,0.000999000999000999,2.158097321744624e-05,0.0,1.8101468547700773e-238,0.0020527417787691757,1,gp,geary
sim_g064,0.8471658985199285,0.0,1.3395159586304278e-05,2.2032349257171684e-230,0.000999000999000999,2.2134341753088284e-05,0.0,1.9440308168092663e-229,0.0020527417787691757,1,hotspot,geary
sim_g053,0.8539075122803363,0.0,1.3395159586304278e-05,3.301353968045071e-232,0.000999000999000999,2.059466586550673e-05,0.0,3.0012308800409735e-231,0.0020527417787691757,1,hotspot,geary
sim_g008,0.8573341258572393,0.0,1.3395159586304278e-05,2.831108175091758e-220,0.000999000999000999,2.0575894415055595e-05,0.0,2.4266641500786497e-219,0.0020527417787691757,1,hotspot,geary
sim_g140,0.8698610710157654,3.16222666926806e-277,1.3395159586304278e-05,4.500690104999821e-196,0.000999000999000999,1.8704791229078014e-05,2.635188891056717e-276,3.553176398684069e-195,0.0020527417787691757,1,hotspot,geary
sim_g093,0.8702252471889613,1.0855207618121552e-275,1.3395159586304278e-05,4.9658157498687864e-201,0.000999000999000999,1.891848658401618e-05,8.801519690368826e-275,4.026337094488205e-200,0.0020527417787691757,1,gp,geary
sim_g113,0.8731188086574394,1.2145532965023887e-263,1.3395159586304278e-05,1.830646738157853e-206,0.000999000999000999,1.6322302049132675e-05,9.588578656597805e-263,1.5255389484648775e-205,0.0020527417787691757,1,hotspot,geary
sim_g101,0.8826903981743962,1.0185860088790809e-225,1.3395159586304278e-05,1.8260783104086697e-164,0.000999000999000999,1.8371830114485923e-05,7.835276991377545e-225,1.4046756233912843e-163,0.0020527417787691757,1,gp,geary
sim_g005,0.891243948866611,2.4388912460133293e-194,1.3395159586304278e-05,1.91008498285634e-139,0.000999000999000999,1.8519085563224854e-05,1.829168434509997e-193,1.364346416325957e-138,0.0020527417787691757,1,gp,geary
sim_g022,0.8926771728109011,2.589862685765403e-189,1.3395159586304278e-05,1.754846836490945e-147,0.000999000999000999,1.7426990994703784e-05,1.8950214773893195e-188,1.2840342706031304e-146,0.0020527417787691757,1,stripes,geary
sim_g136,0.8969120460264914,7.509799222279139e-175,1.3395159586304278e-05,1.3939047347422226e-136,0.000999000999000999,1.7415655830528405e-05,5.364142301627956e-174,9.724916754015505e-136,0.0020527417787691757,1,hotspot,geary
sim_g116,0.8973096080613533,1.5977478840893653e-173,1.3395159586304278e-05,9.411789306848648e-136,0.000999000999000999,1.7568191259031014e-05,1.1147078261088595e-172,6.417129072851351e-135,0.0020527417787691757,1,hotspot,geary
sim_g024,0.8986082888848972,3.202662333240786e-169,1.3395159586304278e-05,1.4978149217101116e-149,0.000999000999000999,1.6152239532289905e-05,2.1836334090278084e-168,1.1233611912825838e-148,0.0020527417787691757,1,hotspot,geary
sim_g063,0.8997772193007775,2.1429116687707207e-165,1.3395159586304278e-05,7.13765759434269e-129,0.000999000999000999,1.7293349100760695e-05,1.4286077791804804e-164,4.654994083266972e-128,0.0020527417787691757,1,hotspot,geary
sim_g078,0.9041227830473577,1.4606355535358713e-151,1.3395159586304278e-05,1.4296940733066927e-120,0.000999000999000999,1.7030326730342368e-05,9.525884044799162e-151,8.409965137098191e-120,0.0020527417787691757,1,stripes,geary
sim_g133,0.9052012784296012,3.184894669178385e-148,1.3395159586304278e-05,3.9374679741174e-128,0.000999000999000999,1.534301046872981e-05,2.0329114909649264e-147,2.513277430287702e-127,0.0020527417787691757,1,hotspot,geary
sim_g127,0.9064479118047647,2.0663857990076173e-144,1.3395159586304278e-05,3.4307209730319236e-125,0.000999000999000999,1.5910140407052794e-05,1.2914911243797607e-143,2.1004414120603616e-124,0.0020527417787691757,1,gp,geary
sim_g137,0.9086564773774446,8.81721246254753e-138,1.3395159586304278e-05,1.5885493660590293e-116,0.000999000999000999,1.5844985965834255e-05,5.398293344416856e-137,8.991788864485071e-116,0.0020527417787691757,1,gp,geary
sim_g097,0.9090183948624545,1.039324663514152e-136,1.3395159586304278e-05,2.715218780422244e-126,0.000999000999000999,1.4780032849852478e-05,6.2359479810849124e-136,1.6970117377639025e-125,0.0020527417787691757,1,stripes,geary
sim_g087,0.9090638205954137,1.4155656461928364e-136,1.3395159586304278e-05,7.686266122223316e-130,0.000999000999000999,1.3990231067101373e-05,8.326856742310802e-136,5.124177414815544e-129,0.0020527417787691757,1,gp,geary
sim_g109,0.9097295427897091,1.287305467979848e-134,1.3395159586304278e-05,2.29875162547471e-124,0.000999000999000999,1.4163311604138307e-05,7.426762315268354e-134,1.379250975284826e-123,0.0020527417787691757,1,gp,geary
sim_g006,0.9107548021762459,1.2538313979802218e-131,1.3395159586304278e-05,5.746848756184127e-119,0.000999000999000999,1.4967423472540479e-05,7.097158856491822e-131,3.315489667029304e-118,0.0020527417787691757,1,stripes,geary
sim_g084,0.9137471101794764,4.2271503978381145e-123,1.3395159586304278e-05,4.2993613280124994e-101,0.000999000999000999,1.5600554342133807e-05,2.3484168876878415e-122,2.303229282863839e-100,0.0020527417787691757,1,gp,geary
sim_g088,0.9165074369954238,1.7209719968809249e-115,1.3395159586304278e-05,4.835506825747672e-105,0.000999000999000999,1.484309725779674e-05,9.387119982986863e-115,2.686392680970929e-104,0.0020527417787691757,1,hotspot,geary
sim_g081,0.9184098894889203,2.1725191255689698e-110,1.3395159586304278e-05,2.440562041730703e-102,0.000999000999000999,1.4385824503036295e-05,1.1638495315548052e-109,1.3312156591258382e-101,0.0020527417787691757,1,hotspot,geary
sim_g065,0.9212535995423509,5.541962678687775e-103,1.3395159586304278e-05,2.8643645920275535e-94,0.000999000999000999,1.4185129802982711e-05,2.91682246246725e-102,1.5075603115934492e-93,0.0020527417787691757,1,gp,geary
sim_g149,0.9244642839614505,6.190660357240864e-95,1.3395159586304278e-05,2.6681998254812023e-93,0.000999000999000999,1.3211381573761223e-05,3.2020657020211366e-94,1.3801033580075185e-92,0.0020527417787691757,1,gp,geary
