,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,is_spatial,pattern_type,method
sim_g035,0.04889870380340127,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.1443305019094238e-05,0.0,0.0,0.0037936746797506294,1,hotspot,moran
sim_g008,0.047189705051426264,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.1743950175232226e-05,0.0,0.0,0.0037936746797506294,1,hotspot,moran
sim_g088,0.04707827620918802,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.2410304313257786e-05,0.0,0.0,0.0037936746797506294,1,hotspot,moran
sim_g024,0.03953537840835927,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.08625096219191e-05,0.0,0.0,0.0037936746797506294,1,hotspot,moran
sim_g106,0.03829374597444758,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.2029178817360846e-05,0.0,0.0,0.0037936746797506294,1,hotspot,moran
sim_g046,0.03496507431054434,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.0235425291489062e-05,0.0,0.0,0.0037936746797506294,1,hotspot,moran
sim_g002,0.03335472662466019,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,9.751801118821783e-06,0.0,0.0,0.0037936746797506294,1,gp,moran
sim_g022,0.03259141876646436,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,9.556488562550504e-06,0.0,0.0,0.0037936746797506294,1,stripes,moran
sim_g016,0.03169939364161572,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,9.730740404201818e-06,0.0,0.0,0.0037936746797506294,1,hotspot,moran
sim_g055,0.028975286697990328,9.992007221626409e-16,1.3395159586304278e-05,0.0,0.000999000999000999,1.0100213484624533e-05,1.033655919478594e-14,0.0,0.0037936746797506294,1,gp,moran
sim_g096,0.024142005238872034,1.7377876915247725e-11,1.3395159586304278e-05,3.219646771412954e-15,0.000999000999000999,9.650264941487451e-06,1.7377876915247725e-10,3.115787198141568e-14,0.0037936746797506294,1,gp,moran
sim_g087,0.023914362374538742,2.6426416610547676e-11,1.3395159586304278e-05,5.218048215738236e-15,0.000999000999000999,9.52470865209595e-06,2.557395155859453e-10,4.7436801961256686e-14,0.0037936746797506294,1,gp,moran
sim_g139,0.02356749082099378,4.968891964551858e-11,1.3395159586304278e-05,1.1102230246251565e-15,0.000999000999000999,8.67740835364553e-06,4.658336216767367e-10,1.1102230246251565e-14,0.0037936746797506294,1,gp,moran
sim_g044,0.022438554482871603,3.6502068034849344e-10,1.3395159586304278e-05,6.283862319378386e-14,0.000999000999000999,9.14175964382121e-06,3.3183698213499406e-09,5.544584399451517e-13,0.0037936746797506294,1,stripes,moran
sim_g069,0.022194292298501065,5.551191728514482e-10,1.3395159586304278e-05,4.107825191113079e-15,0.000999000999000999,8.236554029357135e-06,4.898110348689249e-09,3.851086116668512e-14,0.0037936746797506294,1,hotspot,moran
sim_g077,0.022142570917259404,6.063118895838215e-10,1.3395159586304278e-05,9.00390872971002e-14,0.000999000999000999,9.033229106606809e-06,5.1969590535756134e-09,7.71763605403716e-13,0.0037936746797506294,1,hotspot,moran
sim_g109,0.021830427949322318,1.0282563689401059e-09,1.3395159586304278e-05,8.982814492242142e-13,0.000999000999000999,9.479116273630376e-06,8.568803074500883e-09,7.283363101817953e-12,0.0037936746797506294,1,gp,moran
sim_g053,0.021607780483045406,1.4922765245728442e-09,1.3395159586304278e-05,1.6052714713055138e-12,0.000999000999000999,9.593370519771192e-06,1.2099539388428466e-08,1.2348242086965491e-11,0.0037936746797506294,1,hotspot,moran
sim_g064,0.021460231458897458,1.9062338374453702e-09,1.3395159586304278e-05,2.0727863869751673e-13,0.000999000999000999,8.766969007911585e-06,1.5049214506147658e-08,1.7273219891459728e-12,0.0037936746797506294,1,hotspot,moran
sim_g060,0.020686874981232745,6.702214006004681e-09,1.3395159586304278e-05,1.7715828803943623e-12,0.000999000999000999,9.08604942304843e-06,5.155549235388216e-08,1.3286871602957717e-11,0.0037936746797506294,1,gp,moran
sim_g017,0.02066455977101025,6.945346853193257e-09,1.3395159586304278e-05,5.731859431534758e-12,0.000999000999000999,9.378021754605786e-06,5.209010139894943e-08,4.194043486488848e-11,0.0037936746797506294,1,gp,moran
sim_g047,0.020525957211166866,8.658909034231499e-09,1.3395159586304278e-05,1.340039190722564e-12,0.000999000999000999,8.467128755176031e-06,6.335787098218171e-08,1.0579256768862346e-11,0.0037936746797506294,1,stripes,moran
sim_g014,0.019056136161648193,8.237480453310297e-08,1.3395159586304278e-05,1.939270966033746e-11,0.000999000999000999,8.411077404412593e-06,5.883914609507355e-07,1.3851935471669612e-10,0.0037936746797506294,1,stripes,moran
sim_g133,0.017416522677886875,8.453082199766371e-07,1.3395159586304278e-05,1.6393651769419648e-08,0.000999000999000999,9.734331526950492e-06,5.897499209139328e-06,1.0929101179613099e-07,0.0037936746797506294,1,hotspot,moran
sim_g045,0.017050579346203177,1.3842448619572068e-06,1.3395159586304278e-05,1.7848439393119975e-09,0.000999000999000999,8.474698667334331e-06,9.438033149708227e-06,1.2169390495309074e-08,0.0037936746797506294,1,hotspot,moran
sim_g023,0.016308338554368144,3.654480882686606e-06,1.3395159586304278e-05,3.225663525174838e-08,0.000999000999000999,9.076912560130158e-06,2.4363205884577375e-05,1.9748960358213294e-07,0.0037936746797506294,1,gp,moran
sim_g142,0.016267620575816363,3.849971510261341e-06,1.3395159586304278e-05,1.569641638887731e-09,0.000999000999000999,7.629323122107229e-06,2.5108509849530485e-05,1.0950988178286495e-08,0.0037936746797506294,1,gp,moran
