,C,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,is_spatial,pattern_type,method
sim_g062,0.29384661592690325,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,7.3764796016155e-05,0.0,0.0,0.00111000111000111,1,hotspot,geary
sim_g140,0.31854875306482167,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,7.116006639729575e-05,0.0,0.0,0.00111000111000111,1,hotspot,geary
sim_g102,0.35345649199617796,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,7.101765744038398e-05,0.0,0.0,0.00111000111000111,1,hotspot,geary
sim_g122,0.35621810812273624,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,6.78772054455967e-05,0.0,0.0,0.00111000111000111,1,hotspot,geary
sim_g134,0.3566276898363571,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,6.842960587753017e-05,0.0,0.0,0.00111000111000111,1,hotspot,geary
sim_g004,0.36106771692519163,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,7.020291643085285e-05,0.0,0.0,0.00111000111000111,1,hotspot,geary
sim_g106,0.36380518127967604,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,6.672008735315298e-05,0.0,0.0,0.00111000111000111,1,hotspot,geary
sim_g000,0.38302034071264646,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,6.518756752475733e-05,0.0,0.0,0.00111000111000111,1,hotspot,geary
sim_g045,0.39722264863372947,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,7.105605232231483e-05,0.0,0.0,0.00111000111000111,1,hotspot,geary
sim_g001,0.4009240139124673,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,6.449302354637264e-05,0.0,0.0,0.00111000111000111,1,hotspot,geary
sim_g034,0.42531002434919096,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,5.927915898279e-05,0.0,0.0,0.00111000111000111,1,hotspot,geary
sim_g064,0.43371831400402266,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,6.13054589835627e-05,0.0,0.0,0.00111000111000111,1,hotspot,geary
sim_g035,0.4344680966135243,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,6.239838677732429e-05,0.0,0.0,0.00111000111000111,1,hotspot,geary
sim_g076,0.43544515615981083,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,5.65738554406985e-05,0.0,0.0,0.00111000111000111,1,hotspot,geary
sim_g018,0.4393363577930533,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,6.180369552124858e-05,0.0,0.0,0.00111000111000111,1,hotspot,geary
sim_g081,0.4518271520262605,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,6.039381947019042e-05,0.0,0.0,0.00111000111000111,1,hotspot,geary
sim_g032,0.45531152323205526,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,6.170522936760388e-05,0.0,0.0,0.00111000111000111,1,hotspot,geary
sim_g118,0.4705157940802743,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,5.80557242688611e-05,0.0,0.0,0.00111000111000111,1,hotspot,geary
sim_g094,0.47139395971424164,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,5.5189668260931864e-05,0.0,0.0,0.00111000111000111,1,hotspot,geary
sim_g049,0.4785181200905449,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,6.059257736882331e-05,0.0,0.0,0.00111000111000111,1,hotspot,geary
sim_g091,0.4854858160009674,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,5.1489728063852e-05,0.0,0.0,0.00111000111000111,1,hotspot,geary
