,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,is_spatial,pattern_type,method
sim_g035,0.15969851364773202,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.1766673399392263e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g069,0.15555021381323245,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.1285513692091587e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g094,0.154255668586226,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.0916874545367457e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g128,0.15321286718830426,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.342737322445315e-05,0.0,0.0,0.002038777548981631,1,gp,moran
sim_g064,0.1524024723831739,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.1514694543890863e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g053,0.14739080586481113,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.8932700281895854e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g008,0.14352351951280612,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.0624729416900938e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g093,0.13132156431953032,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.9554553913238315e-05,0.0,0.0,0.002038777548981631,1,gp,moran
sim_g140,0.1291356204291598,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.838638468478387e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g113,0.123836074319688,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.8872571955391724e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g101,0.11702745873477531,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.783973723512451e-05,0.0,0.0,0.002038777548981631,1,gp,moran
sim_g005,0.10824332170655149,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.7465164009041018e-05,0.0,0.0,0.002038777548981631,1,gp,moran
sim_g022,0.10786658318677105,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.6615284513248538e-05,0.0,0.0,0.002038777548981631,1,stripes,moran
sim_g024,0.10458721493972171,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.674877880132122e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g136,0.10375295418843088,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.6071564020573372e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g116,0.10371292302709287,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.6807941059139665e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g063,0.10040677714527527,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.6300855768951097e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g078,0.09608115251825622,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.6347860509636746e-05,0.0,0.0,0.002038777548981631,1,stripes,moran
sim_g127,0.09492979875503545,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.5578138568542277e-05,0.0,0.0,0.002038777548981631,1,gp,moran
sim_g133,0.09418095153320033,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.4985698338128752e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g097,0.09195734388972458,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.5269169804893683e-05,0.0,0.0,0.002038777548981631,1,stripes,moran
sim_g137,0.090938903166012,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.689672582049765e-05,0.0,0.0,0.002038777548981631,1,gp,moran
sim_g087,0.09052158220680318,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.6686721404131848e-05,0.0,0.0,0.002038777548981631,1,gp,moran
sim_g006,0.08959442408414585,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.4980754797941035e-05,0.0,0.0,0.002038777548981631,1,stripes,moran
sim_g109,0.08926656922723482,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.6959560335796413e-05,0.0,0.0,0.002038777548981631,1,gp,moran
sim_g084,0.08405825604267703,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.4578554327283292e-05,0.0,0.0,0.002038777548981631,1,gp,moran
sim_g088,0.08384272786558185,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.5569131857860178e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
