g,FSV,M,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval,is_svg
sim_g265,2.061153435493158e-09,4,1.0655670566970437,485165195.4097903,-15922.40997118919,-2.7189821694263054,1.861296871196103e-08,SE,9560,3.498039938290241,5.96183118655428e+17,0.0014901161193847656,31881.48131440256,-15922.409997340459,2.6151268684770912e-05,0.9959197708897188,0.9959197788362323,False
sim_g266,0.9999546021272736,4,1.0655670566970437,4.5399929762484854e-05,-15438.859388869623,-2.557889957503325,8.017033493286752,SE,9560,6.630388289141284,2329838235.0027304,0.0014770030975341797,30914.380149763427,-15439.372842267385,0.5134533977616229,0.473647715902898,0.8309609050928035,False
sim_g267,0.9999546021272738,4,1.0655670566970437,4.5399929762484854e-05,-15607.869038021592,-2.6595418946185085,8.600197852576757,SE,9560,22.17659364528248,7792586729.995909,0.0015408992767333984,31252.399448067365,-15608.140116246996,0.27107822540347115,0.6026094050674067,0.987884270602306,False
sim_g268,2.0611534354931574e-09,4,1.0655670566970437,485165195.4097903,-16340.881857610642,-2.844299072057895,2.035875119248598e-08,SE,9560,27.058568702340814,4.611686018427388e+18,0.003437042236328125,32718.425087245465,-16340.881883762631,2.6151989004574716e-05,0.9959197146969581,0.9959197788362323,False
sim_g273,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-11077.088455046993,-2.083228573221263,4.93028673736193,SE,9560,1179.986882200092,414633115746.27625,0.0014581680297851562,22190.838282118166,-11077.09496340188,0.006508354887046153,0.9357009156432197,0.9959197788362323,False
sim_g280,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-13743.222146393564,-2.4066144196583377,6.824716083257158,SE,9560,10945.80698124535,3846224158474.1187,0.0016319751739501953,27523.105664811308,-13743.2364994533,0.01435305973609502,0.9046382104938041,0.9959197788362323,False
sim_g281,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-14857.131614288623,-2.5618303555722672,7.86761297781127,SE,9560,3.177110009158957,1116398022.7583733,0.0014009475708007812,29750.924600601425,-14857.769486543475,0.637872254852482,0.42448233631966725,0.7717860660357586,False
sim_g287,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-14631.962303708402,-2.5086658903824732,7.537982701104656,SE,9560,4.838175223974154,1700076244.8364613,0.0013561248779296875,29300.585979440984,-14632.622288622671,0.6599849142694438,0.41656526915689285,0.7620096387016333,False
sim_g290,0.9999546021272738,4,1.0655670566970437,4.5399929762484854e-05,-16256.64588344054,-2.8381546831042757,9.80418128949218,SE,9560,9.744946111748913,3424256176.1171036,0.0014400482177734375,32549.95313890526,-16257.064041752834,0.418158312293599,0.5178574440159912,0.882711552299985,False
sim_g293,2.0611534354931574e-09,4,1.0655670566970437,485165195.4097903,-15333.436644194488,-2.643717387081945,1.738976942589458e-08,SE,9560,3.1358051551830015,5.344461841183392e+17,0.0013849735260009766,30703.534660413156,-15333.436670345667,2.6151179554290138e-05,0.9959197778429173,0.9959197788362323,False
sim_g294,0.9999546021272738,4,1.0655670566970437,4.5399929762484854e-05,-10922.869415357982,-2.077345943744426,4.886967660493785,SE,9560,99.57943160736393,34991007624.27214,0.002257823944091797,21882.400202740144,-10922.938021966647,0.06860660866550461,0.7933764642809227,0.9959197788362323,False
sim_g296,0.9999546021272738,4,1.0655670566970437,4.5399929762484854e-05,-13083.746191950691,-2.318376855704252,6.274394532081156,SE,9560,1.3410067648630701,471213554.60871977,0.0013990402221679688,26204.153755925563,-13084.710599845721,0.9644078950295807,0.32607880480935436,0.619136971157002,False
sim_g297,2.061153435493158e-09,4,1.0655670566970437,485165195.4097903,-14220.133101148313,-2.462234348141233,1.485984391454484e-08,SE,9560,3.0701356621824925,5.2325390391907424e+17,0.003195047378540039,28476.927574320805,-14220.13312729948,2.6151166821364313e-05,0.9959197788362323,0.9959197788362323,False
sim_g298,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-15522.673352937907,-2.723363914495111,8.916363921556751,SE,9560,64.15556064041913,22543487899.881668,0.004681110382080078,31082.008077899995,-15522.808530078619,0.13517714071167575,0.7131234585738045,0.9959197788362323,False
sim_g299,0.9999546021272738,4,1.0655670566970437,4.5399929762484854e-05,-11679.256716850676,-2.201335942660926,5.515662421956129,SE,9560,1945.5050030867387,683626922722.6154,0.004437923431396484,23395.17480572553,-11679.270051409378,0.013334558701899368,0.9080683499071507,0.9959197788362323,False
sim_g177,4.684593579462333e-08,4,2.365932769935914,21345954.059637953,-13275.798686775088,-2.317735251115097,2.95755230176397e-07,SE,9560,0.0043797798221830225,1445054004610.1116,0.004364728927612305,26588.258745574356,-13275.798713693395,2.6918307412415743e-05,0.9958603655989344,0.9959197788362323,False
sim_g190,0.1624749872075055,4,2.365932769935914,5.154645278837963,-16262.592333730016,-2.809490522258681,1.5144802762987368,SE,9560,0.0015299655095552165,0.07881740171246862,0.006808042526245117,32561.84603948421,-16264.312180550909,1.7198468208935083,0.1897127636676218,0.36718599419539705,False
sim_g191,0.20862706165089215,4,2.365932769935914,3.7931329347091345,-16399.04657171739,-2.8132706028974197,1.941464521867981,SE,9560,0.0009742646109235523,0.03599294904702041,0.005614757537841797,32834.75451545896,-16402.954517506172,3.9079457887819444,0.04805830583509052,0.09548007781806063,False
sim_g206,0.16065058775311347,4,2.365932769935914,5.224539072420443,-15937.90415358659,-2.6056347961673088,1.3094919924117685,SE,9560,0.0015379502117364669,0.08049808026836597,0.016813993453979492,31912.469679197362,-15939.970313234435,2.0661596478439606,0.15060032985862837,0.2952947644286831,False
sim_g207,7.417614322163054e-08,4,2.365932769935914,13481034.771996008,-14868.676521399408,-2.58754909738953,5.940900187208023e-07,SE,9560,0.0015607407569264537,205389369275.41898,0.004141807556152344,29774.014414822996,-14868.67654958333,2.8183922040625475e-05,0.995764167912648,0.9959197788362323,False
sim_g230,0.1895843359074321,4,2.365932769935914,4.2745744410746385,-10893.236407535673,-2.2241936931034476,1.0009031151321777,SE,9560,0.0013910129585282002,0.0580949857713908,0.007087230682373047,21823.134187095526,-10896.254706383086,3.0182988474134618,0.0823297860787977,0.1624929988397323,False
sim_g232,2.0610943398190706e-09,4,2.365932769935914,485165195.4097903,-15149.512071812424,-2.5742964787962017,1.6530506343278097e-08,SE,9560,2.28978392843541,3.902782217247641e+17,0.0013949871063232422,30335.685515649027,-15149.51209796625,2.6153826183872297e-05,0.9959195713805417,0.9959197788362323,False
