g,FSV,M,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval,is_svg
sim_g165,0.9999546021272738,4,1.0655670566970437,4.5399929762484854e-05,-17053.97415280299,-5.1808268002418325,28.892506585098282,SE,9560,510.9199376710219,179531085344.30838,0.002295970916748047,34144.609677630164,-17054.058877999618,0.08472519662609557,0.7709932488826539,0.9959197788362323,False
sim_g167,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-15784.486091037139,-3.9490043951173672,17.171993319195238,SE,9560,3.8221613590842662,1343061263.7381806,0.002889871597290039,31605.63355409846,-15785.105405518894,0.619314481755282,0.4313021429124807,0.8568916746605577,False
sim_g168,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-15999.824496820389,-4.0219703700120215,17.82640669007734,SE,9560,3.1731791484120877,1115016765.8470545,0.0036110877990722656,32036.31036566496,-16000.454800508804,0.6303036884146422,0.42724394088837725,0.8544878817767545,False
sim_g173,2.061153435493158e-09,4,1.0655670566970437,485165195.4097903,-13948.587420552765,-3.5825860155655773,2.8688098391869195e-08,SE,9560,15.707468453059514,2.6770785050281436e+18,0.004200935363769531,27933.83621312971,-13948.58744670469,2.6151925339945592e-05,0.9959197196634587,0.9959197788362323,False
sim_g174,2.0611534354931574e-09,4,1.0655670566970437,485165195.4097903,-16137.995787380481,-4.449283707621338,4.4333705297867176e-08,SE,9560,12.543220620732006,2.1377847364733568e+18,0.0018000602722167969,32312.652946785143,-16137.995813532267,2.615178527776152e-05,0.9959197305897816,0.9959197788362323,False
sim_g177,0.5013075008231495,4,1.0655670566970437,0.9947835493280378,-13906.609382015191,-3.233229047923318,5.776804120912183,SE,9560,111.22927565273837,2083.4332235713646,0.003717184066772461,27849.880136054562,-13906.670138153477,0.060756138285796624,0.8053048000667333,0.9959197788362323,False
sim_g179,0.9999546021272738,4,1.0655670566970437,4.5399929762484854e-05,-15120.77381984226,-4.03080611189433,17.61794385829086,SE,9560,81.41879429478954,28609579367.484608,0.0032491683959960938,30278.2090117087,-15120.957103637364,0.18328379510421655,0.6685662555751088,0.9959197788362323,False
sim_g182,0.9999546021272738,4,1.0655670566970437,4.5399929762484854e-05,-17315.46300404216,-5.281016156296958,30.056427065086098,SE,9560,17.81206340189777,6258943601.52511,0.0041408538818359375,34667.5873801085,-17315.721042645833,0.2580386036715936,0.6114708736541713,0.9959197788362323,False
sim_g184,0.9999546021272738,4,1.0655670566970437,4.5399929762484854e-05,-16786.71774698622,-4.631347560482526,23.392771813984904,SE,9560,45.367212269266496,15941489570.540873,0.0014019012451171875,33610.096865996624,-16786.948297080882,0.23055009466042975,0.6311162412738937,0.9959197788362323,False
sim_g185,0.9999546021272738,4,1.0655670566970437,4.5399929762484854e-05,-16151.791636562655,-4.403307220213367,21.09024893910768,SE,9560,24.113810547042018,8473301314.175812,0.0014100074768066406,32340.24464514949,-16152.040794883635,0.24915832097940438,0.6176683539784507,0.9959197788362323,False
sim_g187,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-17180.580487522515,-4.620056687626434,23.456916644032802,SE,9560,36.89439601688063,12964244437.64467,0.001651763916015625,34397.82234706921,-17180.762432236465,0.1819447139496333,0.6697072834960451,0.9959197788362323,False
sim_g189,0.9999546021272737,4,1.0655670566970437,4.5399929762484854e-05,-16664.318064147737,-4.930017801032606,26.19638996924818,SE,9560,141.95534980450054,49881392644.52792,0.0015189647674560547,33365.297500319655,-16664.435804766614,0.11774061887626885,0.7314980079958127,0.9959197788362323,False
