"","combinedPval","adjustedPval"
"sim_g129",1.18793863634892e-14,2.01714031421665e-13
"sim_g058",9.83657599817889e-14,1.65535448382802e-12
"sim_g073",2.38919994899334e-13,3.98509917407624e-12
"sim_g104",5.45319345235384e-12,9.01594250931296e-11
"sim_g009",6.89270862608282e-12,1.1296844745005e-10
"sim_g111",8.00037813775134e-12,1.29992293331349e-10
"sim_g028",1.36382016791003e-11,2.19703172003907e-10
"sim_g110",3.78681530577296e-11,6.04863247701994e-10
"sim_g191",5.58142421169805e-11,8.84022158709188e-10
"sim_g208",1.01815333941602e-10,1.59917880253883e-09
"sim_g047",1.57594270966399e-10,2.45482272878362e-09
"sim_g044",3.32358141008626e-10,5.13465857665177e-09
"sim_g071",6.49837739175041e-10,9.9578343706598e-09
"sim_g151",8.93551677094706e-10,1.35819794682192e-08
"sim_g050",1.30707522583151e-09,1.97085943443983e-08
"sim_g201",1.39835587553705e-09,2.09176189310505e-08
"sim_g022",1.76315850808351e-09,2.61669266314465e-08
"sim_g003",2.33665597981769e-09,3.44072440431714e-08
"sim_g196",2.89579260570605e-09,4.23099804853669e-08
"sim_g036",3.43271389091626e-09,4.97690482473738e-08
"sim_g166",4.08930933559759e-09,5.88360825758715e-08
"sim_g115",5.45740552748697e-09,7.79251013356573e-08
"sim_g190",6.58597065772426e-09,9.33325713563832e-08
"sim_g020",1.05344946099706e-08,1.4817467638046e-07
"sim_g229",1.38655117387643e-08,1.93582999517784e-07
"sim_g213",1.65416051967071e-08,2.29247085643073e-07
"sim_g125",1.86283843905954e-08,2.56282943998093e-07
"sim_g293",2.20169236175849e-08,3.00706371233725e-07
"sim_g246",7.21708708351088e-08,9.78615805911148e-07
"sim_g187",8.3632645253573e-08,1.12593385617541e-06
"sim_g021",9.05114023730391e-08,1.20989940094542e-06
"sim_g216",1.31408046222248e-07,1.7442096878477e-06
"sim_g206",1.47707001518782e-07,1.94683939155817e-06
"sim_g107",2.21367843500353e-07,2.89745782212388e-06
"sim_g097",2.23129892007456e-07,2.90037954440767e-06
"sim_g153",2.38599891622115e-07,3.08022518000885e-06
"sim_g043",2.64855102516393e-07,3.39590935937298e-06
"sim_g289",2.83226490926936e-07,3.60692603612966e-06
"sim_g157",3.03439776194736e-07,3.83840964109698e-06
"sim_g250",3.06378901804294e-07,3.84975132010333e-06
"sim_g026",3.41305308015905e-07,4.26021165064772e-06
"sim_g261",3.54485023112971e-07,4.39561233714276e-06
"sim_g245",4.03106675483933e-07,4.96585049013827e-06
"sim_g085",7.1284974878516e-07,8.72453643267487e-06
"sim_g098",7.41895500033785e-07,9.0214452793916e-06
"sim_g286",1.08312156310575e-06,1.30863244663424e-05
"sim_g057",1.40833130046758e-06,1.69071443177253e-05
"sim_g156",1.53632146737692e-06,1.83269456802868e-05
"sim_g251",2.6134312995918e-06,3.09798309992256e-05
"sim_g264",2.6409028337504e-06,3.11098215843455e-05
"sim_g266",2.81859865336465e-06,3.29968471165619e-05
"sim_g181",3.08664121828617e-06,3.59117209140188e-05
"sim_g164",3.83886446397863e-06,4.43895002009887e-05
"sim_g262",4.14662126790866e-06,4.7655782314338e-05
"sim_g167",4.3407519667582e-06,4.95845192634378e-05
"sim_g271",4.64582665404834e-06,5.27496999641967e-05
"sim_g240",6.98941437771161e-06,7.88840860873559e-05
"sim_g256",1.05044120918274e-05,0.000117849447201974
"sim_g072",1.28323427951438e-05,0.000143114727654446
"sim_g284",1.48451965731322e-05,0.000164589494657583
"sim_g148",1.75890444900073e-05,0.000193870271063772
"sim_g265",1.78891639264211e-05,0.000196031867527819
"sim_g274",3.43269353337838e-05,0.000373984849843249
"sim_g227",5.04864763644086e-05,0.000544102767468895
"sim_g252",5.05189020247876e-05,0.000544102767468895
"sim_g244",5.32844827221268e-05,0.00057062811644105
"sim_g029",5.58639928542881e-05,0.000594872356127026
"sim_g194",5.69203807223584e-05,0.000599349083827805
"sim_g232",5.67907036383986e-05,0.000599349083827805
"sim_g172",6.15735672750972e-05,0.000644743378500741
"sim_g059",6.5291257312472e-05,0.000679894514944323
"sim_g211",6.60033428855344e-05,0.00068353321702083
"sim_g268",7.43211118103826e-05,0.000765466499532445
"sim_g210",8.01269711869779e-05,0.000820778523447106
"sim_g200",8.35046451670429e-05,0.000850753975180876
"sim_g160",9.05418457900486e-05,0.000917490297098042
"sim_g067",9.18093589230562e-05,0.000925359374084499
"sim_g189",9.69422887300286e-05,0.000971897578528271
"sim_g184",0.000100826461286618,0.00100549010556167
"sim_g180",0.000127419299087883,0.00125738109115056
"sim_g258",0.00012739052739974,0.00125738109115056
"sim_g218",0.000129202513454718,0.00126833744457167
"sim_g154",0.000135357047103435,0.00132186968515142
"sim_g188",0.000157765435118806,0.0015249033858164
"sim_g298",0.000157053984875422,0.0015249033858164
"sim_g150",0.000179243586304612,0.00172366408997652
"sim_g079",0.000195031341917673,0.00186596401125762
"sim_g145",0.000201955031969181,0.00192244785575379
"sim_g278",0.000227030366712344,0.00215028465026351
"sim_g182",0.000230186068253868,0.0021692725451501
"sim_g247",0.000235791397135809,0.00221104193144852
"sim_g205",0.000247706476273146,0.00231127207633301
"sim_g176",0.000258647779313392,0.00240147348888462
"sim_g070",0.000269923683296258,0.00249388202276883
"sim_g224",0.000276746032582986,0.00254444239452485
"sim_g199",0.000295949136714713,0.00270778973540293
"sim_g287",0.000305822538208211,0.00278460900664093
"sim_g220",0.000363531073411583,0.00329414934272518
